"","HeartDiseaseorAttack","HighBP","HighChol","CholCheck","Smoker","Stroke","Diabetes","PhysActivity","Fruits","Veggies","HvyAlcoholConsump","AnyHealthcare","NoDocbcCost","GenHlth","MentHlth","PhysHlth","DiffWalk","Sex","Age","Education","Income","BMI_cat"
"HeartDiseaseorAttack",0,0.660894607252045,0.665302208774786,0.158067660354378,0.680158672810892,0.156731838583218,0.479103469160764,0.551507872758696,0.656457816055539,0.483429521934903,0.215897733279592,0.195214283100317,0.288409353560491,1.40811882146152,1.37385508733637,1.55843826438129,0.434933807407727,0.682336596411124,2.42988919069907,1.25360170427322,1.81449779809549,1.14135189461546
"HighBP",0.289979521002671,0,0.636744729486448,0.154006668850267,0.681971565763137,0.161296105986773,0.45471802193758,0.547246549408424,0.655830906894026,0.482293933663327,0.216364087583793,0.194650996105695,0.288704180774236,1.39248087510235,1.37354470609053,1.55820830436499,0.42813063864863,0.684650227515474,2.39365435923779,1.24819242074319,1.8083533953539,1.11665391322346
"HighChol",0.295831155885994,0.638188762847031,0,0.155385032264455,0.682508099144744,0.165513638782658,0.470104111042199,0.552006900072348,0.655818670089557,0.483366953633613,0.216305041870253,0.194490854116216,0.288765914856446,1.41782119799887,1.3741166690378,1.56430032737261,0.442714444299662,0.685525475936974,2.41406562982942,1.2559301170602,1.82062388583675,1.13397868092228
"CholCheck",0.310818431128988,0.67767252587425,0.677606855927856,0,0.686624443840824,0.169382955843647,0.48891184038869,0.555022613777348,0.65637271842408,0.484139087719514,0.216124253836165,0.191042967761661,0.287486694422517,1.43912667689045,1.37602743031123,1.57214898706647,0.452105950282055,0.685769147216986,2.45345778022069,1.2583512621697,1.82450467817229,1.14263525859992
"Smoker",0.305601350359369,0.67832932956099,0.677421829582014,0.159316350614693,0,0.167896921509724,0.490173692027669,0.551230217978704,0.653641639918709,0.48368845558422,0.211221085399446,0.195135702762979,0.287664852308117,1.42681474033151,1.37156540173388,1.56559393865425,0.445605828681209,0.681626206398523,2.44830236651533,1.24202205418438,1.81559763672255,1.14287564976459
"Stroke",0.299094139051777,0.674573492704706,0.677346992140006,0.158994485537596,0.684816544429802,0,0.487580617262148,0.55286781295043,0.656563109486411,0.483382450614531,0.216210634237177,0.195363525255159,0.28832563607102,1.42534127448036,1.37402320109835,1.56391204489426,0.441316772552547,0.686007649182509,2.44925028141335,1.25560669765798,1.81682504561823,1.1429913650706
"Diabetes",0.299066331163166,0.645595970189355,0.659538025933392,0.156123931616484,0.684693876481591,0.165181178795992,0,0.548094825458591,0.655768209723218,0.482486560477739,0.214328856073942,0.195261642478796,0.288132127355384,1.39319724737613,1.37306852203505,1.5578906575965,0.431816078793256,0.685519795237049,2.43625493374144,1.24985500391468,1.80956975214694,1.11912934224151
"PhysActivity",0.308592803942682,0.675246566841784,0.678562884145125,0.159356774186724,0.68287247161421,0.167590443665858,0.485216894640175,0,0.646687298359796,0.47326669219974,0.216293661138064,0.194806304938217,0.287069976929683,1.40496229111178,1.36834091286229,1.55092447952261,0.424466990953443,0.685482665946136,2.45346967226346,1.23819443559705,1.80411198202593,1.13362250257537
"Fruits",0.311922282512493,0.682210459600354,0.680754189435303,0.159086414106424,0.683663428827183,0.169665275474806,0.49126981417777,0.545066833632763,0,0.452928482552201,0.215762622419948,0.194917289063243,0.287895692232025,1.43462276349565,1.37353405060438,1.57162412896041,0.451905878619604,0.681864750090718,2.45441062254998,1.25173439041162,1.82139651336056,1.13913545663852
"Veggies",0.311388239405892,0.681167737383687,0.68079672399339,0.159347034415891,0.686204495506727,0.168978867616961,0.490482415946325,0.54414047848674,0.625422733566232,0,0.21613954040917,0.19499198301386,0.288358525731919,1.43268026743911,1.37436102746351,1.57071384108165,0.450021193159941,0.683926823295188,2.45798781027687,1.24641514413237,1.81339016362681,1.14121655317916
